"length"	"type"

21.78	1

21.73	1

21.73	1

23.99	1

22.44	1

22.97	1

20.88	1

22.53	1

22.09	1

24.17	1

23.85	1

22.99	1

20	1

20.55	1

22.42	1

20.24	1

24.24	1

22.91	1

19.6	1

21.69	1

22.88	1

23.87	1

24.18	1

23.33	1

19.92	1

25.88	1

24.16	1

21.71	1

17.69	1

23.11	1

20.92	1

23.74	1

22.93	1

24.92	1

23.47	1

18.68	1

21.99	1

23.2	1

23.7	1

25.53	1

23.26	1

24.63	1

24.12	1

20.09	1

21.79	1

21.05	2

21.85	2

22.05	2

22.45	2

22.65	2

23.25	2

23.25	2

23.25	2

23.45	2

23.45	2

23.65	2

23.85	2

24.05	2

24.05	2

24.05	2

20.85	3

21.65	3

22.05	3

22.85	3

23.05	3

23.05	3

23.05	3

23.05	3

23.45	3

23.85	3

23.85	3

23.85	3

24.05	3

25.05	3

21.05	4

21.85	4

22.05	4

22.05	4

22.05	4

22.25	4

22.45	4

22.45	4

22.65	4

23.05	4

23.05	4

23.05	4

23.05	4

23.05	4

23.25	4

23.85	4

21.05	5

21.85	5

21.85	5

21.85	5

22.05	5

22.45	5

22.65	5

23.05	5

23.05	5

23.25	5

23.45	5

24.05	5

24.05	5

24.05	5

24.85	5

19.85	6

20.05	6

20.25	6

20.85	6

20.85	6

20.85	6

21.05	6

21.05	6

21.05	6

21.25	6

21.45	6

22.05	6

22.05	6

22.05	6

22.25	6
