"length" "dose"
"Rat1" 19.3363248141791 0
"Rat2" 18.9210225553342 0
"Rat3" 18.5659522279483 0
"Rat4" 18.9640616522228 0
"Rat5" 17.0711997195837 0
"Rat6" 18.8205446287027 0
"Rat7" 55.3923835756713 1.25
"Rat8" 59.1818088264166 1.25
"Rat9" 59.1298784958511 1.25
"Rat10" 52.1126295251039 1.25
"Rat11" 51.6929233017915 1.25
"Rat12" 51.2648398991139 1.25
"Rat13" 60.1998347518266 2.5
"Rat14" 59.7467913543714 2.5
"Rat15" 56.8308730587657 2.5
"Rat16" 50.4554487724314 2.5
"Rat17" 57.2776970577987 2.5
"Rat18" 51.2331176793893 2.5
"Rat19" 62.6173561602196 5
"Rat20" 60.361824759304 5
"Rat21" 64.6008266946917 5
"Rat22" 51.4425217501644 5
"Rat23" 54.3508779703732 5
"Rat24" 55.8638289863561 5
